t p i e
0.000000 0 0 4
0.021122 0 1 4
0.053441 1 2 2
0.169507 1 3 3
0.229417 1 4 3
0.354988 1 5 3
0.419612 1 6 2
0.618110 1 7 2
0.750818 1 8 2
0.875418 1 9 2
1.003175 1 10 2
1.455481 1 11 2
1.734281 1 12 2
1.911128 1 13 2
2.661129 1 14 3
3.310908 1 15 4
3.569754 1 16 3
3.983797 1 17 4
4.145360 1 18 4
4.250670 1 19 4
4.634528 1 20 4
5.120243 1 21 4
5.411852 1 22 3
5.720009 1 23 4
6.099148 1 24 4
7.076159 1 25 4
7.624446 1 26 4
7.993621 1 27 4
8.476464 1 28 4
8.553739 1 29 4
8.942773 1 30 3
9.392048 1 31 4
9.843971 1 32 4
10.051795 1 33 4
10.236734 1 34 4
10.489178 1 35 3
11.210552 1 36 3
12.431332 1 37 3
12.518456 1 38 2
13.235602 1 39 4
13.554464 1 40 4
13.848952 1 41 3
13.952782 1 42 3
14.141392 1 43 2
14.333336 1 44 3
14.455418 1 45 2
14.578405 1 46 2
14.957927 1 47 3
15.134846 1 48 2
15.344636 1 49 2
16.401896 1 50 3
18.395645 1 51 2
19.593494 1 52 2
21.256145 1 53 3
21.608719 1 54 4
21.854708 1 55 3
22.346483 1 56 4
22.821020 1 57 3
23.025070 1 58 4
23.223227 1 59 3
23.678848 1 60 4
24.091841 1 61 3
24.705303 1 62 3
25.395412 1 63 4
25.923450 1 64 4
26.326639 1 65 4
26.642181 1 66 4
26.993574 1 67 3
27.791359 1 68 3
28.388712 1 69 4
28.590101 1 70 3
28.998652 1 71 4
29.084314 1 72 4
29.526119 1 73 4
29.696983 1 74 4
29.804888 1 75 2
30.852213 1 76 3
31.050077 1 77 2
31.435694 1 78 3
31.711138 1 79 3
31.909904 1 80 4
32.094185 1 81 4
32.190598 1 82 2
32.268101 1 83 2
32.380592 1 84 3
32.658512 1 85 2
33.293217 1 86 2
33.687157 1 87 2
33.930973 1 88 3
34.387703 1 89 3
34.637516 1 90 3
34.868591 1 91 3
35.251587 1 92 2
35.784550 1 93 3
36.053013 1 94 3
36.134941 1 95 3
36.185013 1 96 2
36.306099 1 97 2
